id,source,institution,setting,type,label,from,to,subject,attachment,body,text,prob,pct,verdict_at_50,correct
uni_01,University of Bristol infosec,University of Bristol,university,Sextortion / blackmail,1,lukoswaldoman@outlook.com,Winston Smith (IT Security),re: allie2004 - W.Smith,,"allie2004 is one of your personal password. I will directly come to the point. You don't know me but I know you very well and you must be thinking why are you getting this mail, right?

In fact, I actually installed malware on porn video clips (sex sites) and you know what, you accessed same adult website to experience fun (you know what I mean). And while you were busy enjoying our videos, your system began working as a RDP (Remote Computer) with a backdoor which allowed me accessibility to your device and also your webcam recordings. Just after that, my software program collected your entire contacts from your fb, and e-mail.

Exactly what did I do?
It's simply your misfortune that I found your bad deeds. Next, I put in more days than I should have investigating into your life and made a split screen videotape. 1st half displays the recording you had been watching and next part displays the view from your webcam (it is you doing nasty things)

What can you do?
Frankly, I'm ready to remove about you and let you move on with your daily life. And I am going to give you two options that can accomplish it. The two options are either to turn a blind eye to this e mail (not recommended), or pay me $ 8000. Let's examine those 2 options in more depth.

Option 1 is to turn a blind eye to this email. You should know what is going to happen if you select this option. I will certainly send your video to your entire contacts including members of your family, co-workers, and so forth. It will not help you avoid the humiliation you and your family will face when relatives and buddies find out your unpleasant video in their inbox.
Wise choise is to make the payment of $ 8000. We'll name this my ""confidentiality fee"". Now Lets see what will happen when you pick this way out. Your little secret Will remain your secret. I'll keep my mouth silent. After you you pay me my fees, You can freely move on with your lifetime and family that nothing like this ever occurred.

You will make the payment through Bitcoin (if you don't know how, type ""how to purchase bitcoin"" on search engine) BTC ADDRESS: 1BKs6A93BYy4prJv5C8UwoRXEyjmcih6cj
(It is CASE sensitive, so copy and paste it)

Note: You now have one day in order to make the payment. (I have a unique pixel within this e-mail, and right now I know that you've read through this e-mail). DO NOT TELL anybody what you will be sending the bitcoin for or they will often not give it to you. The task to obtain bitcoins will take a few days so do not put it off.
If I don't get the Bitcoin, I will certainly send out your video recording to all of your contacts including friends and family, co-workers, and many others. nevertheless, if I do get paid, I will erase the video immediately. If you want to have proof, reply with ""yes!"" and I will certainly send your video to your 14 contacts. It is a non-negotiable offer, thus don't waste my personal time & yours by responding to this e-mail.","re: allie2004 - W.Smith allie2004 is one of your personal password. I will directly come to the point. You don't know me but I know you very well and you must be thinking why are you getting this mail, right?

In fact, I actually installed malware on porn video clips (sex sites) and you know what, you accessed same adult website to experience fun (you know what I mean). And while you were busy enjoying our videos, your system began working as a RDP (Remote Computer) with a backdoor which allowed me accessibility to your device and also your webcam recordings. Just after that, my software program collected your entire contacts from your fb, and e-mail.

Exactly what did I do?
It's simply your misfortune that I found your bad deeds. Next, I put in more days than I should have investigating into your life and made a split screen videotape. 1st half displays the recording you had been watching and next part displays the view from your webcam (it is you doing nasty things)

What can you do?
Frankly, I'm ready to remove about you and let you move on with your daily life. And I am going to give you two options that can accomplish it. The two options are either to turn a blind eye to this e mail (not recommended), or pay me $ 8000. Let's examine those 2 options in more depth.

Option 1 is to turn a blind eye to this email. You should know what is going to happen if you select this option. I will certainly send your video to your entire contacts including members of your family, co-workers, and so forth. It will not help you avoid the humiliation you and your family will face when relatives and buddies find out your unpleasant video in their inbox.
Wise choise is to make the payment of $ 8000. We'll name this my ""confidentiality fee"". Now Lets see what will happen when you pick this way out. Your little secret Will remain your secret. I'll keep my mouth silent. After you you pay me my fees, You can freely move on with your lifetime and family that nothing like this ever occurred.

You will make the payment through Bitcoin (if you don't know how, type ""how to purchase bitcoin"" on search engine) BTC ADDRESS: 1BKs6A93BYy4prJv5C8UwoRXEyjmcih6cj
(It is CASE sensitive, so copy and paste it)

Note: You now have one day in order to make the payment. (I have a unique pixel within this e-mail, and right now I know that you've read through this e-mail). DO NOT TELL anybody what you will be sending the bitcoin for or they will often not give it to you. The task to obtain bitcoins will take a few days so do not put it off.
If I don't get the Bitcoin, I will certainly send out your video recording to all of your contacts including friends and family, co-workers, and many others. nevertheless, if I do get paid, I will erase the video immediately. If you want to have proof, reply with ""yes!"" and I will certainly send your video to your 14 contacts. It is a non-negotiable offer, thus don't waste my personal time & yours by responding to this e-mail.",0.9511041601156804,95,phishing,True
uni_02,University of Bristol infosec,University of Bristol,university,Government impersonation / credential harvesting,1,GOV.UK <support@hrmc.me.uk>,,Your HMRC Tax Refund Notification,,"HMRC Tax Refund Notification

Claims for Working From Home Tax Allowance.

Please ""Sign in to HMRC online services"" below using SSO and follow step 1 of 3 to have your tax refund credit to your bank account, also note you might need your Bank details.

Sign in to HMRC online services self assessment. https://signin.hrmc.me.uk/a6ed0c0f1a7bcf7e?l=26

Note : For security reasons we will record (IP Address, Time and Date). Providing false information may lead to prosecution.

Best regards,
HM Revenue & Customs","Your HMRC Tax Refund Notification HMRC Tax Refund Notification

Claims for Working From Home Tax Allowance.

Please ""Sign in to HMRC online services"" below using SSO and follow step 1 of 3 to have your tax refund credit to your bank account, also note you might need your Bank details.

Sign in to HMRC online services self assessment. https://signin.hrmc.me.uk/a6ed0c0f1a7bcf7e?l=26

Note : For security reasons we will record (IP Address, Time and Date). Providing false information may lead to prosecution.

Best regards,
HM Revenue & Customs",0.9649867259294596,96,phishing,True
uni_03,University of Birmingham IT security blog,University of Birmingham,university,Fake helpdesk / credential harvesting,1,Campus__Helpdesk <i.b.phished@bham.ac.uk>,Richard Trevithick (Engineering) <r.trevithick@bham.ac.uk>,Action Required For: r.trevithick@bham.ac.uk,,"You have (21) new Campus Schedule message
Follow link below to access this updates

Review Scheduled Message Here

HelpDesk-Services 2020
Security Message","Action Required For: r.trevithick@bham.ac.uk You have (21) new Campus Schedule message
Follow link below to access this updates

Review Scheduled Message Here

HelpDesk-Services 2020
Security Message",0.8531048915878781,85,phishing,True
uni_04,UWE Bristol Information Security Toolkit,UWE Bristol,university,Malicious attachment from compromised staff account,1,other.name@uwe.ac.uk,user.name@uwe.ac.uk,Your documen,document7912.zip (contains document7912.exe),"To view your document, please open attachment.","Your documen To view your document, please open attachment.",0.9137207264654149,91,phishing,True
uni_05,UWE Bristol Information Security Toolkit,UWE Bristol,university,Fake IT helpdesk / mailbox quota credential harvesting,1,ithelp@uwe.ac.uk,user.name@uwe.ac.uk,Help desk,,"Your webmail quota has exceeded the storage limit which is 20GB as set by your administrator, You are currently running on 20.9GB
You may not be able to send or receive new mail until you re-validate your mailbox.
To re-validate your mailbox please click the link below:

Click here

Help desk","Help desk Your webmail quota has exceeded the storage limit which is 20GB as set by your administrator, You are currently running on 20.9GB
You may not be able to send or receive new mail until you re-validate your mailbox.
To re-validate your mailbox please click the link below:

Click here

Help desk",0.9798689961452569,98,phishing,True
uni_06,UWE Bristol Information Security Toolkit,UWE Bristol,university,Government impersonation / malicious attachment,1,gateway.confirmation@gateway.gov.uk,user.name@uwe.ac.uk,Your Online Submission for Reference 475/RA2949502 Could not process,GB3370106.zip (contains GB3370106.pdf.scr),"We could not process your Full Payment Submission.
The submission for reference 475/RA2949502 was successfully received and was not processed.

Check attached copy for more information.

This is an automatically generated email. Please do not reply as the email address is not monitored for received mail.","Your Online Submission for Reference 475/RA2949502 Could not process We could not process your Full Payment Submission.
The submission for reference 475/RA2949502 was successfully received and was not processed.

Check attached copy for more information.

This is an automatically generated email. Please do not reply as the email address is not monitored for received mail.",0.8038756041133681,80,phishing,True
uni_07,UWE Bristol Information Security Toolkit,UWE Bristol,university,Compromised supplier / malicious attachment,1,"""Clare Harding"" [purchasing@carterspackaging.com]",user.name@uwe.ac.uk,FW: Purchase Order 0000035394 customer 09221,Purchase Order 0000035394.docx,"Dear customer,

Please find attached a copy of our order (reference 0000035394), your reference .

If you have any questions regarding the purchase order please contact us using the details below.

CLARE HARDING

Purchasing Manager
Carters Packaging Ltd, Packaging House, Wilson Way, Pool, Redruth, Cornwall, TR15 3RT
Fax: +44 (0) 1209 315 600
www.carterspackaging.com

purchasing@carterspackaging.com","FW: Purchase Order 0000035394 customer 09221 Dear customer,

Please find attached a copy of our order (reference 0000035394), your reference .

If you have any questions regarding the purchase order please contact us using the details below.

CLARE HARDING

Purchasing Manager
Carters Packaging Ltd, Packaging House, Wilson Way, Pool, Redruth, Cornwall, TR15 3RT
Fax: +44 (0) 1209 315 600
www.carterspackaging.com

purchasing@carterspackaging.com",0.08807048849719862,9,legitimate,False
school_01,Simulated (this project),Oakfield Academy (fictional),secondary school,Headteacher impersonation / gift-card scam,1,Mrs L. Hartley <l.hartley.oakfield@gmail.com>,staff member,Quick favour,,"Hi,

Are you in school today? I'm stuck in a meeting with the trust and can't take calls but I need something sorting before 3pm.

I need you to pick up 4 x £50 Amazon gift cards for the Year 11 leavers' prizes. Scratch off the backs and email me the codes as soon as you have them – I'll sort reimbursement through finance on Monday. Please keep this between us for now as it's meant to be a surprise.

Thanks so much,
Lorraine
Sent from my iPhone","Quick favour Hi,

Are you in school today? I'm stuck in a meeting with the trust and can't take calls but I need something sorting before 3pm.

I need you to pick up 4 x £50 Amazon gift cards for the Year 11 leavers' prizes. Scratch off the backs and email me the codes as soon as you have them – I'll sort reimbursement through finance on Monday. Please keep this between us for now as it's meant to be a surprise.

Thanks so much,
Lorraine
Sent from my iPhone",0.04501215774471018,5,legitimate,False
school_02,Simulated (this project),Oakfield Academy (fictional),secondary school,Fake IT support / Microsoft 365 credential harvesting,1,Oakfield Academy IT Support <it-support@oakfield-academy-portal.com>,staff member,Action required: your Microsoft 365 password expires today,,"Dear Staff Member,

Our records indicate that the password for your Oakfield Academy Microsoft 365 account will expire in the next 24 hours. To avoid losing access to Outlook, Teams and Arbor, you must verify your account and keep your current password.

Keep my current password: http://oakfield-academy-portal.com/verify

If you do not complete this step today your account will be suspended and you will need to contact the Trust IT helpdesk to have it reinstated.

Regards,
IT Support Team
Oakfield Academy","Action required: your Microsoft 365 password expires today Dear Staff Member,

Our records indicate that the password for your Oakfield Academy Microsoft 365 account will expire in the next 24 hours. To avoid losing access to Outlook, Teams and Arbor, you must verify your account and keep your current password.

Keep my current password: http://oakfield-academy-portal.com/verify

If you do not complete this step today your account will be suspended and you will need to contact the Trust IT helpdesk to have it reinstated.

Regards,
IT Support Team
Oakfield Academy",0.996810149156939,100,phishing,True
school_03,Simulated (this project),Oakfield Academy (fictional),secondary school,Legitimate: parent trip payment reminder,0,Finance – Oakfield Academy <finance@oakfieldacademy.org.uk>,parents and carers,Trip payment reminder – Year 9 Geography fieldwork,,"Dear parents and carers,

This is a reminder that the balance for the Year 9 Geography fieldwork trip to the Jurassic Coast (Tuesday 14 October) is due by Friday 26 September. Payments can be made through ParentPay as usual.

If you have any difficulty with the payment or would like to discuss support through the Pupil Premium, please contact the finance office on 0117 000 0000 or speak to Mr Patel in the Geography department.

Kind regards,
Finance Office
Oakfield Academy","Trip payment reminder – Year 9 Geography fieldwork Dear parents and carers,

This is a reminder that the balance for the Year 9 Geography fieldwork trip to the Jurassic Coast (Tuesday 14 October) is due by Friday 26 September. Payments can be made through ParentPay as usual.

If you have any difficulty with the payment or would like to discuss support through the Pupil Premium, please contact the finance office on 0117 000 0000 or speak to Mr Patel in the Geography department.

Kind regards,
Finance Office
Oakfield Academy",0.059072654974802144,6,legitimate,True
