"id","source","institution","setting","type","label","from","to","subject","attachment","body","text"
"synth_01","Synthetic (LLM-generated for this project)","fictional","secondary school","Credential: Microsoft 365 password expiry","1","IT Helpdesk <helpdesk@brookmere-high-support.com>","staff","Your password expires in 12 hours","","Dear colleague,

Our records show the password for your Brookmere High School Microsoft 365 account is due to expire at 23:59 tonight. To avoid interruption to Outlook, Teams and SIMS, please confirm that you wish to keep your existing password.

Keep my password: http://brookmere-high-support.com/keep

If no action is taken, your account will be locked and a new password will be issued by post.

IT Helpdesk
Brookmere High School","Your password expires in 12 hours Dear colleague,

Our records show the password for your Brookmere High School Microsoft 365 account is due to expire at 23:59 tonight. To avoid interruption to Outlook, Teams and SIMS, please confirm that you wish to keep your existing password.

Keep my password: http://brookmere-high-support.com/keep

If no action is taken, your account will be locked and a new password will be issued by post.

IT Helpdesk
Brookmere High School"
"synth_02","Synthetic (LLM-generated for this project)","fictional","university","Credential: Microsoft 365 password expiry","1","Westmoor University IT <no-reply@westmoor-account-services.net>","student","Action needed: password update required","","Hello,

As part of our annual security review, all student accounts must have their password revalidated before the end of the week. This takes less than a minute and you will not need to choose a new password.

Revalidate now: http://westmoor-account-services.net/revalidate

Accounts that are not revalidated will lose access to Moodle, email and the library from Monday.

Thank you for helping keep Westmoor secure.
IT Services","Action needed: password update required Hello,

As part of our annual security review, all student accounts must have their password revalidated before the end of the week. This takes less than a minute and you will not need to choose a new password.

Revalidate now: http://westmoor-account-services.net/revalidate

Accounts that are not revalidated will lose access to Moodle, email and the library from Monday.

Thank you for helping keep Westmoor secure.
IT Services"
"synth_03","Synthetic (LLM-generated for this project)","fictional","secondary school","Credential: mailbox storage","1","Mail Administrator <postmaster@kingsmead-college-mail.org>","staff","Mailbox almost full (98%)","","Your mailbox has reached 98% of its allocated storage. Incoming messages will be rejected once the limit is reached.

To increase your storage allowance free of charge, sign in below and select 'Upgrade'.

http://kingsmead-college-mail.org/upgrade

Mail Administrator","Mailbox almost full (98%) Your mailbox has reached 98% of its allocated storage. Incoming messages will be rejected once the limit is reached.

To increase your storage allowance free of charge, sign in below and select 'Upgrade'.

http://kingsmead-college-mail.org/upgrade

Mail Administrator"
"synth_04","Synthetic (LLM-generated for this project)","fictional","university","Credential: shared document lure","1","Dr Helen Ashworth via SharePoint <share@avonside-docs.com>","staff","Helen Ashworth shared 'Revised Marking Scheme' with you","","Helen Ashworth has shared a document with you.

Revised Marking Scheme – Semester 1.docx

Open document: http://avonside-docs.com/open/3f9a

This link will expire in 24 hours. You may be asked to sign in with your university credentials to view the file.

Microsoft SharePoint","Helen Ashworth shared 'Revised Marking Scheme' with you Helen Ashworth has shared a document with you.

Revised Marking Scheme – Semester 1.docx

Open document: http://avonside-docs.com/open/3f9a

This link will expire in 24 hours. You may be asked to sign in with your university credentials to view the file.

Microsoft SharePoint"
"synth_05","Synthetic (LLM-generated for this project)","fictional","secondary school","Credential: e-signature lure","1","DocuSign <dse@docusign-notify-uk.com>","staff","Please review and sign: Updated Contract of Employment","","Severn Vale Academy Trust has sent you a document to review and sign.

Updated Contract of Employment – 2026/27

REVIEW DOCUMENT: http://docusign-notify-uk.com/review

Please complete by Friday. Contracts not signed by the deadline cannot be processed for the September pay run.

Do not share this email with others.","Please review and sign: Updated Contract of Employment Severn Vale Academy Trust has sent you a document to review and sign.

Updated Contract of Employment – 2026/27

REVIEW DOCUMENT: http://docusign-notify-uk.com/review

Please complete by Friday. Contracts not signed by the deadline cannot be processed for the September pay run.

Do not share this email with others."
"synth_06","Synthetic (LLM-generated for this project)","fictional","university","Credential: Teams voicemail lure","1","Microsoft Teams <teams@office-voicemail-alerts.com>","staff","You have a new voicemail (0:47)","","You received a voicemail message.

From: +44 20 3*** ****
Duration: 0 min 47 sec

Listen to voicemail: http://office-voicemail-alerts.com/play

This voicemail will be deleted in 48 hours if not reviewed.","You have a new voicemail (0:47) You received a voicemail message.

From: +44 20 3*** ****
Duration: 0 min 47 sec

Listen to voicemail: http://office-voicemail-alerts.com/play

This voicemail will be deleted in 48 hours if not reviewed."
"synth_07","Synthetic (LLM-generated for this project)","fictional","secondary school","BEC: headteacher gift-card request","1","Andrew Cole <andrew.cole.brookmere@gmail.com>","office manager","Are you at your desk?","","Hi Joanne,

Are you free? I'm in a governors' meeting and can't step out. I need a quick favour handled discreetly before the end of the day. Let me know when you see this and I'll send the details.

Thanks
Andrew
Headteacher","Are you at your desk? Hi Joanne,

Are you free? I'm in a governors' meeting and can't step out. I need a quick favour handled discreetly before the end of the day. Let me know when you see this and I'll send the details.

Thanks
Andrew
Headteacher"
"synth_08","Synthetic (LLM-generated for this project)","fictional","secondary school","BEC: headteacher gift-card request (follow-up)","1","Andrew Cole <andrew.cole.brookmere@gmail.com>","office manager","RE: Are you at your desk?","","Great, thanks Joanne.

I want to thank the exam invigilators with something small. Could you get 6 x £25 Apple gift cards from the Tesco on the way back from lunch? Scratch the backs and send me a photo of the codes so I can email them out this afternoon. Use the school card and I'll sign the expense form when I'm back.

Please don't mention it to anyone yet, I'd like it to be a surprise.

Andrew","RE: Are you at your desk? Great, thanks Joanne.

I want to thank the exam invigilators with something small. Could you get 6 x £25 Apple gift cards from the Tesco on the way back from lunch? Scratch the backs and send me a photo of the codes so I can email them out this afternoon. Use the school card and I'll sign the expense form when I'm back.

Please don't mention it to anyone yet, I'd like it to be a surprise.

Andrew"
"synth_09","Synthetic (LLM-generated for this project)","fictional","university","BEC: head of department urgent bank transfer","1","Prof. Michael Grant <m.grant.westmoor@outlook.com>","departmental administrator","Urgent payment – conference deposit","","Sarah,

I'm travelling and have limited email access. The venue for the departmental conference needs the deposit today or we lose the booking. Can you arrange a same-day transfer of £2,850 to the account below and send me confirmation?

Account name: Meridian Venues Ltd
Sort code: 40-11-32
Account: 71920446

I'll deal with the paperwork on my return.

Michael","Urgent payment – conference deposit Sarah,

I'm travelling and have limited email access. The venue for the departmental conference needs the deposit today or we lose the booking. Can you arrange a same-day transfer of £2,850 to the account below and send me confirmation?

Account name: Meridian Venues Ltd
Sort code: 40-11-32
Account: 71920446

I'll deal with the paperwork on my return.

Michael"
"synth_10","Synthetic (LLM-generated for this project)","fictional","secondary school","Payroll diversion","1","Payroll <payroll-severnvale@hotmail.co.uk>","staff","Payslip error – action required","","Dear staff member,

We have identified an error affecting the bank details held for a number of staff, which may prevent salaries being paid on the 28th. Please confirm your details on the secure payroll portal as soon as possible.

Confirm details: http://severnvale-payroll-portal.com

Staff who do not confirm by Wednesday will be paid by cheque, which may take up to 10 working days.

Payroll Team","Payslip error – action required Dear staff member,

We have identified an error affecting the bank details held for a number of staff, which may prevent salaries being paid on the 28th. Please confirm your details on the secure payroll portal as soon as possible.

Confirm details: http://severnvale-payroll-portal.com

Staff who do not confirm by Wednesday will be paid by cheque, which may take up to 10 working days.

Payroll Team"
